"No.","Time","Source","Destination","Protocol","Length","Channel","PHY type","MAC timestamp","Channel flags","Data rate","Orthogonal Frequency-Division Multiplexing (OFDM)","Gaussian Frequency Shift Keying (GFSK)","Complementary Code Keying (CCK)","Dynamic CCK-OFDM","MCS index","Info"
"2557","2474.902870618","BestItWo_1d:40:82","Broadcast","802.11","259","6","802.11b","2538323344","0x00a0","1","False","False","True","False","","Beacon frame, SN=1948, FN=0, Flags=........, BI=100, SSID=Dharak"
"2558","2474.953546671","Skyworth_10:13:5c","Broadcast","802.11","269","7","802.11b","2538373681","0x00a0","1","False","False","True","False","","Beacon frame, SN=1450, FN=0, Flags=........, BI=100, SSID=Spring"
"2559","2475.055852239","Skyworth_10:13:5c","Broadcast","802.11","269","7","802.11b","2538476071","0x00a0","1","False","False","True","False","","Beacon frame, SN=1451, FN=0, Flags=........, BI=100, SSID=Spring"
"2560","2475.097616255","QingDaoH_ee:46:09","Broadcast","802.11","309","8","802.11b","2538517641","0x00a0","1","False","False","True","False","","Beacon frame, SN=366, FN=0, Flags=........, BI=100, SSID=JioFi2_EE4609"
"2561","2475.384496054","D-LinkIn_b7:2b:f3","Broadcast","802.11","320","10","802.11b","2538804308","0x00a0","1","False","False","True","False","","Beacon frame, SN=2587, FN=0, Flags=........, BI=100, SSID=Mehta's"
"2562","2475.521877049","D-LinkIn_52:31:80","Broadcast","802.11","299","11","802.11b","2538941978","0x00a0","1","False","False","True","False","","Beacon frame, SN=3359, FN=0, Flags=........, BI=100, SSID=\\000\\000\\000\\000\\000\\000\\000"
"2563","2475.532020154","Skyworth_10:85:9e","Broadcast","802.11","281","11","802.11b","2538952303","0x00a0","1","False","False","True","False","","Beacon frame, SN=3009, FN=0, Flags=........, BI=100, SSID=taru vapar ne bhai"
"2564","2484.246088079","Tp-LinkT_98:d3:18","Broadcast","802.11","294","1","802.11b","2547665155","0x00a0","1","False","False","True","False","","Beacon frame, SN=3665, FN=0, Flags=........, BI=100, SSID=Krutang"
"2565","2484.281148814","Binatone_0a:21:2c","Broadcast","802.11","290","1","802.11b","2547700290","0x00a0","1","False","False","True","False","","Beacon frame, SN=620, FN=0, Flags=........, BI=100, SSID=SANJAY SHAH"
"2566","2484.835725235","BestItWo_1d:40:82","Broadcast","802.11","259","6","802.11b","2548255164","0x00a0","1","False","False","True","False","","Beacon frame, SN=2051, FN=0, Flags=........, BI=100, SSID=Dharak"
"2567","2484.929511671","Smartlin_7e:3a:37","Broadcast","802.11","301","6","802.11b","2548348322","0x00a0","1","False","False","True","False","","Beacon frame, SN=3953, FN=0, Flags=........, BI=100, SSID=ashish68"
"2568","2484.988545694","Skyworth_10:13:5c","Broadcast","802.11","269","7","802.11b","2548407838","0x00a0","1","False","False","True","False","","Beacon frame, SN=1557, FN=0, Flags=........, BI=100, SSID=Spring"
"2569","2485.136606625","QingDaoH_ee:46:09","Broadcast","802.11","309","8","802.11b","2548555323","0x00a0","1","False","False","True","False","","Beacon frame, SN=405, FN=0, Flags=........, BI=100, SSID=JioFi2_EE4609"
"2570","2485.317375840","D-LinkIn_b7:2b:f3","Broadcast","802.11","320","10","802.11b","2548736041","0x00a0","1","False","False","True","False","","Beacon frame, SN=2701, FN=0, Flags=........, BI=100, SSID=Mehta's"
"2571","2485.398496948","Netgear_f1:a9:a8","Broadcast","802.11","326","10","802.11b","2548817089","0x00a0","1","False","False","True","False","","Beacon frame, SN=3819, FN=0, Flags=........, BI=100, SSID=Shahfamily"
"2572","2485.454787800","D-LinkIn_52:31:80","Broadcast","802.11","299","11","802.11b","2548873683","0x00a0","1","False","False","True","False","","Beacon frame, SN=3462, FN=0, Flags=........, BI=100, SSID=\\000\\000\\000\\000\\000\\000\\000"
"2573","2485.465082695","Skyworth_10:85:9e","Broadcast","802.11","281","11","802.11b","2548884060","0x00a0","1","False","False","True","False","","Beacon frame, SN=3110, FN=0, Flags=........, BI=100, SSID=taru vapar ne bhai"
"2574","2486.109811388","Tp-LinkT_86:2a:7a","IntelCor_5f:d3:27","802.11","430","1","802.11b","2549527532","0x00a0","1","False","False","True","False","","Probe Response, SN=3132, FN=0, Flags=........, BI=100, SSID=TP-LINK"
"2575","2486.113674224","Tp-LinkT_86:2a:7a","IntelCor_5f:d3:27","802.11","430","1","802.11b","2549531402","0x00a0","1","False","False","True","False","","Probe Response, SN=3133, FN=0, Flags=..m....., BI=100, SSID=TP-LINK"
"2576","2486.117595714","Tp-LinkT_86:2a:7a","IntelCor_5f:d3:27","802.11","430","1","802.11b","2549535220","0x00a0","1","False","False","True","False","","Probe Response, SN=3134, FN=0, Flags=........, BI=100, SSID=TP-LINK"
"2577","2486.122947403","Binatone_0a:21:2c","Broadcast","802.11","290","1","802.11b","2549542066","0x00a0","1","False","False","True","False","","Beacon frame, SN=638, FN=0, Flags=........, BI=100, SSID=SANJAY SHAH"
"2578","2486.191869852","Tp-LinkT_98:d3:18","Broadcast","802.11","294","1","802.11b","2549610760","0x00a0","1","False","False","True","False","","Beacon frame, SN=3684, FN=0, Flags=........, BI=100, SSID=Krutang"
"2579","2486.371738705","BestItWo_1d:40:82","Broadcast","802.11","259","6","802.11b","2549791114","0x00a0","1","False","False","True","False","","Beacon frame, SN=2067, FN=0, Flags=........, BI=100, SSID=Dharak"
"2580","2486.420394985","Skyworth_10:13:5c","IntelCor_5f:d3:27","802.11","381","7","802.11b","2549838234","0x00a0","1","False","False","True","False","","Probe Response, SN=1571, FN=0, Flags=........, BI=100, SSID=Spring"
"2581","2486.422260348","Skyworth_10:13:5c","Broadcast","802.11","269","7","802.11b","2549841550","0x00a0","1","False","False","True","False","","Beacon frame, SN=1572, FN=0, Flags=........, BI=100, SSID=Spring"
"2582","2486.430362700","Skyworth_10:13:5c","IntelCor_5f:d3:27","802.11","381","7","802.11b","2549848356","0x00a0","1","False","False","True","False","","Probe Response, SN=1571, FN=0, Flags=....R..., BI=100, SSID=Spring"
"2583","2486.433760234","Skyworth_10:13:5c","IntelCor_5f:d3:27","802.11","381","7","802.11b","2549851704","0x00a0","1","False","False","True","False","","Probe Response, SN=1571, FN=0, Flags=....R..., BI=100, SSID=Spring"
"2584","2486.440472739","Skyworth_10:13:5c","IntelCor_5f:d3:27","802.11","381","7","802.11b","2549858408","0x00a0","1","False","False","True","False","","Probe Response, SN=1571, FN=0, Flags=....R..., BI=100, SSID=Spring"
"2585","2490.189571213","TendaTec_47:9a:c8","Broadcast","802.11","225","6","802.11b","2553609137","0x00a0","1","False","False","True","False","","Beacon frame, SN=857, FN=0, Flags=........, BI=100, SSID=NAWAB"
"2586","2490.313363708","Skyworth_10:13:5c","Broadcast","802.11","269","7","802.11b","2553732609","0x00a0","1","False","False","True","False","","Beacon frame, SN=1623, FN=0, Flags=........, BI=100, SSID=Spring"
"2587","2490.461868530","QingDaoH_f3:5d:2f","Broadcast","802.11","308","8","802.11b","2553880813","0x00a0","1","False","False","True","False","","Beacon frame, SN=3868, FN=0, Flags=........, BI=100, SSID=Regunta_Home"
"2588","2490.722529124","Netgear_f1:a9:a8","Broadcast","802.11","326","10","802.11b","2554141112","0x00a0","1","False","False","True","False","","Beacon frame, SN=3871, FN=0, Flags=........, BI=100, SSID=Shahfamily"
"2589","2490.744567130","D-LinkIn_b7:2b:f3","Broadcast","802.11","320","10","802.11b","2554163209","0x00a0","1","False","False","True","False","","Beacon frame, SN=2762, FN=0, Flags=........, BI=100, SSID=Mehta's"
"2590","2490.882116390","D-LinkIn_52:31:80","Broadcast","802.11","299","11","802.11b","2554300869","0x00a0","1","False","False","True","False","","Beacon frame, SN=3519, FN=0, Flags=........, BI=100, SSID=\\000\\000\\000\\000\\000\\000\\000"
