"No.","Time","Source","Destination","Protocol","Length","Channel","PHY type","MAC timestamp","Channel flags","Data rate","Orthogonal Frequency-Division Multiplexing (OFDM)","Gaussian Frequency Shift Keying (GFSK)","Complementary Code Keying (CCK)","Dynamic CCK-OFDM","MCS index","Info"
"29","0.935979","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175827660993","0x00a0","1","False","False","True","False","","Beacon frame, SN=3798, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"30","0.981757","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175827706751","0x00a0","1","False","False","True","False","","Beacon frame, SN=2807, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"31","1.023974","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175827748942","0x00a0","1","False","False","True","False","","Beacon frame, SN=3985, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"32","1.038361","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175827763402","0x00a0","1","False","False","True","False","","Beacon frame, SN=3799, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"33","1.084142","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175827809150","0x00a0","1","False","False","True","False","","Beacon frame, SN=2808, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"34","1.126415","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175827851364","0x00a0","1","False","False","True","False","","Beacon frame, SN=3986, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"35","1.140787","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175827865797","0x00a0","1","False","False","True","False","","Beacon frame, SN=3800, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"36","1.186549","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175827911553","0x00a0","1","False","False","True","False","","Beacon frame, SN=2809, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"37","1.228835","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175827953741","0x00a0","1","False","False","True","False","","Beacon frame, SN=3987, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"38","1.243217","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175827968201","0x00a0","1","False","False","True","False","","Beacon frame, SN=3801, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"39","1.288935","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175828013952","0x00a0","1","False","False","True","False","","Beacon frame, SN=2810, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"40","1.331317","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175828056249","0x00a0","1","False","False","True","False","","Beacon frame, SN=3988, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"41","1.345589","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175828070601","0x00a0","1","False","False","True","False","","Beacon frame, SN=3802, FN=0, Flags=........C, BI=100, SSID=Himanshu"
